host_rx_ms	timestamp_ms	seq	version	payload_size	status_flags	remote_control_flags	gimbal_mode	gimbal_motor_online_bitmap	can_link_bitmap	gimbal_cmd_yaw_deg	gimbal_cmd_pitch_deg	gimbal_cmd_chassis_rotate_wz	gimbal_yaw_target_deg	gimbal_yaw_actual_deg	gimbal_yaw_error_deg	gimbal_yaw_target_deg_s	gimbal_yaw_actual_deg_s	gimbal_yaw_speed_error_deg_s	gimbal_pitch_target_deg	gimbal_pitch_actual_deg	gimbal_pitch_error_deg	gimbal_pitch_target_deg_s	gimbal_pitch_actual_deg_s	gimbal_pitch_speed_error_deg_s	imu_pitch_deg	imu_yaw_deg	imu_roll_deg	imu_gyro_x_deg_s	imu_gyro_y_deg_s	imu_gyro_z_deg_s	vision_meta_flags	vision_recv_sp_mode	vision_send_sp_mode	vision_recv_yaw_raw_rad	vision_recv_yaw_raw_deg	vision_recv_yaw_vel_raw_rad_s	vision_recv_yaw_vel_raw_deg_s	vision_recv_yaw_acc_raw_rad_s2	vision_recv_yaw_acc_raw_deg_s2	vision_recv_pitch_raw_rad	vision_recv_pitch_raw_deg	vision_recv_pitch_vel_raw_rad_s	vision_recv_pitch_vel_raw_deg_s	vision_recv_pitch_acc_raw_rad_s2	vision_recv_pitch_acc_raw_deg_s2	vision_send_q0	vision_send_q1	vision_send_q2	vision_send_q3	vision_send_yaw_raw_rad	vision_send_yaw_raw_deg	vision_send_yaw_vel_raw_rad_s	vision_send_yaw_vel_raw_deg_s	vision_send_pitch_raw_rad	vision_send_pitch_raw_deg	vision_send_pitch_vel_raw_rad_s	vision_send_pitch_vel_raw_deg_s	vision_send_bullet_speed_mps	vision_send_bullet_count	shoot_bullet_speed	shoot_rest_heat	shoot_rate	shoot_loader_speed_aps	shoot_friction_l_speed_aps	shoot_friction_r_speed_aps	chassis_cmd_vx	chassis_cmd_vy	chassis_cmd_wz
1789546901857	5163	195	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.3515625	-3.735351562	-504.006530762	0	-504.006530762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901881	5186	196	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.000244141	0	-504.000244141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901905	5209	197	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.000244141	0	-504.000244141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901922	5232	198	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504.000244141	0	-504.000244141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901946	5255	199	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901969	5278	200	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902394	5697	201	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902414	5717	202	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902434	5739	203	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902453	5761	204	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902479	5783	205	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902499	5805	206	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902518	5827	207	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902544	5849	208	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902564	5871	209	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902583	5893	210	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902609	5915	211	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546902629	5937	212	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	90.307617188	90.307617188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
